Date,Open,Close,High,Low,Volume
2022-03-23,342.94,343.28,347.09,341.16,38618.0
2022-03-24,347.01,340.49,347.01,340.4,53080.0
2022-03-27,340.31,336.93,344.12,336.09,88284.0
2022-03-28,342.86,334.39,342.86,332.95,42554.0
2022-03-29,335.24,334.39,336.93,332.7,26739.0
2022-03-30,335.24,336.09,336.93,331.93,41942.0
2022-03-31,338.63,337.78,341.16,334.39,56066.0
2022-04-03,341.16,335.24,341.16,334.39,32499.0
2022-04-04,341.92,335.24,341.92,332.7,35593.0
2022-04-05,341.92,331.85,341.92,329.31,75026.0
2022-04-06,328.47,327.53,331.85,325.92,38829.0
2022-04-07,329.31,334.39,336.85,326.86,47077.0
2022-04-11,340.31,334.39,347.09,331.93,53861.0
2022-04-12,330.08,332.7,334.39,329.73,32157.0
2022-04-13,332.7,334.39,337.7,330.16,29042.0
2022-04-17,341.08,331.85,341.08,329.31,31456.0
2022-04-18,336.93,328.72,336.93,328.47,32142.0
2022-04-19,335.24,338.63,338.63,326.77,48613.0
2022-04-20,345.4,334.39,345.4,329.31,108344.0
2022-04-21,331.17,331.85,336.93,328.47,28318.0
2022-04-24,337.78,340.31,340.31,334.56,27519.0
2022-04-25,343.7,336.09,344.3,336.09,27935.0
2022-04-26,336.93,337.78,340.31,331.85,106362.0
2022-04-27,334.39,336.93,337.78,333.54,17927.0
2022-04-28,343.62,332.7,343.62,332.28,21520.0
2022-05-02,333.54,327.62,335.24,326.27,27540.0
2022-05-04,334.13,324.23,334.13,320.09,21198.0
2022-05-05,321.7,321.7,323.39,320.0,50245.0
2022-05-08,325.08,322.54,325.08,316.61,19898.0
2022-05-09,328.97,323.39,328.97,320.85,43943.0
2022-05-10,329.31,329.31,330.16,325.08,37090.0
2022-05-11,334.39,335.74,336.09,331.85,14681.0
2022-05-12,338.63,335.24,339.47,334.39,33703.0
2022-05-17,331.85,328.47,331.85,328.47,18805.0
2022-05-18,332.7,326.86,332.7,323.39,8398.0
2022-05-19,324.83,325.92,331.01,324.83,24289.0
2022-05-20,325.92,324.23,327.62,324.23,10244.0
2022-05-23,330.67,319.15,330.67,316.61,31599.0
2022-05-24,325.5,323.39,325.5,318.3,21162.0
2022-05-25,329.82,326.77,329.82,319.15,29132.0
2022-05-26,333.3,325.92,333.3,323.47,18820.0
2022-05-27,325.92,323.39,325.92,320.0,38462.0
2022-05-30,329.82,318.82,329.82,316.61,19999.0
2022-05-31,313.23,309.84,317.46,309.84,39251.0
2022-06-01,314.92,310.69,314.92,308.15,22933.0
2022-06-02,316.61,308.99,316.61,306.2,29420.0
2022-06-03,315.17,300.53,315.17,300.53,42357.0
2022-06-06,304.76,293.75,304.76,290.37,60191.0
2022-06-07,292.07,284.02,292.07,278.51,51710.0
2022-06-08,287.83,286.13,293.75,284.45,41783.0
2022-06-09,291.81,286.13,293.68,285.63,26454.0
2022-06-10,291.81,284.45,291.81,280.64,9361.0
2022-06-13,290.11,282.75,290.11,279.36,20729.0
2022-06-14,281.9,277.68,281.9,275.98,24892.0
2022-06-15,283.17,270.06,283.17,267.17,29081.0
2022-06-16,266.84,269.21,276.83,266.84,37095.0
2022-06-17,267.51,267.51,275.13,266.75,31244.0
2022-06-19,270.9,262.44,270.9,261.59,21747.0
2022-06-20,261.59,259.05,262.35,257.35,45892.0
2022-06-21,261.59,264.97,273.7,258.2,39395.0
2022-06-22,270.9,262.18,273.44,261.75,36827.0
2022-06-23,257.02,262.44,264.12,253.12,70234.0
2022-06-24,258.2,259.9,262.44,252.45,83733.0
2022-06-26,264.89,270.9,270.9,260.74,90805.0
2022-06-27,272.59,264.12,275.13,262.44,35290.0
2022-06-28,264.12,264.97,267.93,259.05,18396.0
2022-06-29,269.97,266.67,269.97,262.44,19455.0
2022-06-30,269.21,272.5,275.13,266.92,49877.0
2022-07-01,272.59,264.12,272.59,263.88,43304.0
2022-07-03,260.74,267.51,274.7,260.74,40636.0
2022-07-04,270.9,266.67,275.13,265.82,94323.0
2022-07-05,262.44,259.05,270.9,259.05,45515.0
2022-07-06,260.74,261.59,262.44,253.97,35158.0
2022-07-07,266.75,263.28,266.75,256.5,34052.0
2022-07-08,259.05,258.7,261.59,257.35,26338.0
2022-07-11,257.35,246.35,258.11,245.59,93067.0
2022-07-12,248.89,244.66,249.73,243.98,63851.0
2022-07-13,248.89,248.89,249.73,244.66,137903.0
2022-07-14,253.8,252.78,258.79,250.58,44218.0
2022-07-15,252.36,256.5,257.27,252.28,61618.0
2022-07-17,256.5,262.35,262.35,253.97,45999.0
2022-07-18,262.35,266.67,266.67,260.74,52175.0
2022-07-19,267.51,265.82,270.9,264.12,50452.0
2022-07-20,264.21,267.01,269.37,264.12,25318.0
2022-07-21,267.09,266.67,269.21,263.53,45220.0
2022-07-22,268.36,266.67,268.95,262.51,64161.0
2022-07-24,266.67,269.21,269.21,262.44,50944.0
2022-07-25,271.74,271.74,274.29,269.21,62045.0
2022-07-26,270.82,264.97,274.29,264.3,44062.0
2022-07-27,266.75,264.97,266.75,262.51,15160.0
2022-07-28,268.36,263.28,270.22,262.44,59580.0
2022-07-29,268.36,266.67,268.36,260.74,16584.0
2022-07-31,268.36,281.9,281.9,267.69,59013.0
2022-08-01,286.98,284.02,291.9,281.9,112321.0
2022-08-02,284.45,283.6,288.68,280.3,34819.0
2022-08-03,289.27,286.22,294.6,285.54,90162.0
2022-08-04,291.22,276.83,291.22,276.83,61343.0
2022-08-05,277.42,270.9,281.82,270.13,31933.0
2022-08-07,269.3,269.21,275.55,268.36,38474.0
2022-08-08,274.29,268.36,274.29,268.36,24423.0
2022-08-09,268.36,264.64,270.06,264.12,32951.0
2022-08-10,268.28,261.08,268.28,261.08,27991.0
2022-08-11,262.44,259.05,263.7,258.79,35449.0
2022-08-14,258.2,257.35,263.28,257.02,23714.0
2022-08-15,257.44,262.01,262.44,257.44,19155.0
2022-08-16,266.67,262.44,272.5,262.44,34069.0
2022-08-17,262.44,263.2,264.97,260.74,15042.0
