Date,Open,Close,High,Low,Volume,company
2023-07-09,137.2,136.8,139.56,136.2,17318.0,
2023-07-10,137.6,136.0,138.32,135.28,29061.0,
2023-07-11,137.52,134.8,137.52,134.2,20605.0,
2023-07-12,134.24,140.16,140.4,134.24,35129.0,
2023-07-13,141.2,138.0,143.96,137.6,29258.0,
2023-07-16,139.56,137.0,139.56,136.8,11525.0,
2023-07-17,136.08,138.36,139.2,136.08,12609.0,
2023-07-18,139.92,137.4,139.92,137.4,14827.0,
2023-07-19,138.0,136.6,138.4,136.4,20308.0,
2023-07-20,137.6,137.16,138.12,136.12,23105.0,
2023-07-23,137.76,138.4,139.96,135.6,50852.0,
2023-07-24,136.84,138.0,140.0,135.6,27008.0,
2023-07-25,138.6,137.6,139.92,137.2,16732.0,
2023-07-26,137.08,137.2,138.0,136.88,13177.0,
2023-07-27,136.8,136.04,138.0,136.0,26088.0,
2023-07-30,136.8,134.2,137.56,133.6,34492.0,
2023-07-31,135.2,134.68,135.6,134.0,18976.0,
2023-08-01,133.68,132.4,135.52,132.4,17160.0,
2023-08-02,132.4,132.4,132.4,131.04,18696.0,
2023-08-03,133.6,131.6,133.6,130.96,22800.0,
2023-08-06,130.8,129.6,131.24,128.8,19922.0,
2023-08-07,128.8,128.8,130.4,128.4,7864.0,
2023-08-08,128.8,128.0,129.2,127.2,14552.0,
2023-08-09,126.8,130.4,130.72,126.04,24390.0,
2023-08-10,131.0,129.2,131.2,128.8,21808.0,
2023-08-13,129.2,128.4,130.0,127.48,21931.0,
2023-08-14,129.12,126.6,129.12,126.4,17223.0,
2023-08-15,126.6,125.4,126.6,125.2,19460.0,
2023-08-16,125.2,124.4,125.4,123.64,23443.0,
2023-08-17,125.2,124.4,125.68,124.36,8723.0,
2023-08-20,123.12,123.6,126.56,123.12,8367.0,
2023-08-21,124.36,122.68,124.36,122.68,15617.0,
2023-08-22,123.92,123.88,123.92,122.8,7189.0,
2023-08-23,124.4,126.0,127.2,123.28,23846.0,
2023-08-24,126.4,124.44,126.8,124.12,13641.0,
2023-08-27,124.0,124.56,127.0,123.52,13016.0,
2023-08-28,125.2,125.12,125.2,124.0,6797.0,
2023-08-29,123.92,124.96,125.68,123.92,6564.0,
2023-08-30,126.24,123.96,126.24,123.84,8600.0,
2023-09-03,124.0,122.8,124.0,122.4,8706.0,
2023-09-04,124.04,121.6,124.04,121.6,8963.0,
2023-09-05,122.8,122.0,122.8,121.64,2936.0,
2023-09-07,120.8,119.16,122.0,118.8,24824.0,
2023-09-10,119.6,118.0,120.32,117.64,15699.0,
2023-09-11,118.0,120.08,120.08,117.68,20111.0,
2023-09-12,120.4,118.32,120.8,118.28,4186.0,
2023-09-13,118.8,121.6,121.6,118.4,25813.0,
2023-09-17,121.6,119.2,121.6,118.44,17738.0,
2023-09-18,119.6,119.2,121.2,118.8,7534.0,
2023-09-19,119.6,121.88,122.2,118.8,16608.0,
2023-09-21,123.08,128.04,128.04,122.4,69891.0,
2023-09-24,128.04,126.84,130.32,125.2,35333.0,
2023-09-25,125.56,125.6,128.16,124.84,19749.0,
2023-09-26,126.88,128.4,130.4,126.88,30225.0,
2023-09-27,128.4,126.8,128.8,126.2,23536.0,
2023-10-01,127.4,124.96,127.4,124.0,26776.0,
2023-10-02,124.0,125.2,127.52,123.48,22532.0,
2023-10-03,124.0,125.2,126.28,124.0,10063.0,
2023-10-04,125.2,124.6,126.6,124.6,23175.0,
2023-10-05,124.0,124.8,125.88,124.0,10232.0,
2023-10-08,123.56,122.68,125.6,121.6,36228.0,
2023-10-09,122.4,122.48,123.6,121.2,15166.0,
2023-10-10,122.0,120.88,122.8,120.4,8628.0,
2023-10-11,121.6,122.4,122.92,120.4,13566.0,
2023-10-12,121.6,120.0,121.92,119.68,17007.0,
2023-10-16,120.0,119.24,122.4,119.2,11405.0,
2023-10-17,120.0,119.64,121.6,119.56,13071.0,
2023-10-18,120.4,122.0,123.2,120.0,6203.0,
2023-10-19,120.84,121.28,122.76,120.8,4039.0,
2023-10-29,120.08,119.6,120.36,119.2,9997.0,
2023-10-30,118.48,120.8,121.0,118.0,4669.0,
2023-10-31,121.6,120.0,121.6,119.44,7088.0,
2023-11-01,120.0,120.0,121.2,119.32,7461.0,
2023-11-02,118.88,120.0,120.0,118.8,4489.0,
2023-11-05,118.8,118.8,119.6,118.4,12381.0,
2023-11-06,118.8,119.4,120.36,118.8,6575.0,
2023-11-07,118.84,119.24,120.8,118.8,7278.0,
2023-11-08,119.6,119.8,120.0,119.6,3410.0,
2023-11-09,120.96,119.2,120.96,119.2,4331.0,
2023-11-20,119.6,119.24,121.2,119.2,6146.0,
2023-11-21,118.8,117.6,119.76,117.6,8302.0,
2023-11-22,116.8,118.44,119.88,116.8,4516.0,
2023-11-23,118.96,119.6,119.92,116.52,13302.0,
2023-11-26,120.0,121.68,121.68,119.56,11424.0,
2023-11-27,122.0,119.68,122.4,119.68,15336.0,
2023-11-28,120.4,120.76,120.8,119.2,16326.0,
2023-11-29,120.64,120.0,120.64,119.2,1485.0,
2023-11-30,119.2,119.48,120.0,118.44,5804.0,
2023-12-03,118.36,118.8,118.8,118.04,10888.0,
2023-12-04,118.4,118.4,119.96,118.04,8645.0,
2023-12-05,118.8,119.08,119.52,117.8,6442.0,
2023-12-06,119.6,118.12,119.6,117.68,8272.0,
2023-12-07,118.8,119.2,120.52,117.68,15460.0,
2023-12-10,120.36,124.0,125.04,120.36,7960.0,
2023-12-11,124.8,123.6,127.2,122.4,49800.0,
2023-12-12,124.8,127.6,129.2,123.56,54665.0,
2023-12-13,128.4,129.0,131.16,128.0,49034.0,
2023-12-14,128.0,135.6,135.6,126.4,84715.0,
2023-12-17,135.6,142.88,142.88,131.28,134141.0,
2023-12-18,141.24,146.0,147.6,139.8,146656.0,
2023-12-19,144.28,146.8,153.6,141.2,156191.0,
2023-12-20,145.08,150.0,153.6,145.08,115186.0,
2023-12-21,148.2,151.6,156.0,145.24,69095.0,
2023-12-24,149.8,143.2,152.8,142.44,220329.0,
2023-12-27,143.2,140.0,146.0,137.8,97115.0,
2023-12-28,141.6,140.0,144.0,135.32,79792.0,
2024-01-01,141.6,137.6,142.0,136.84,60705.0,
2024-01-02,137.6,134.52,139.12,134.52,62033.0,
2024-01-03,134.24,138.4,138.8,134.24,47961.0,
2024-01-04,139.96,139.6,142.0,139.2,82308.0,
2024-01-07,140.8,140.04,143.6,140.0,76014.0,
2024-01-08,140.8,141.2,141.64,139.2,41935.0,
2024-01-09,142.0,141.2,144.0,140.04,85620.0,
2024-01-10,142.0,139.6,142.0,139.6,41716.0,
2024-01-11,141.16,140.64,141.6,139.44,63417.0,
2024-01-14,141.2,145.6,146.36,141.2,99643.0,
2024-01-16,147.28,149.2,151.8,146.6,157557.0,
2024-01-17,150.8,144.28,150.8,144.28,143971.0,
2024-01-18,142.6,145.48,147.2,141.96,110717.0,
2024-01-21,147.16,154.0,154.0,146.4,522775.0,
2024-01-22,155.88,154.8,160.0,150.6,266454.0,
2024-01-23,152.92,152.0,158.0,151.36,94970.0,
2024-01-24,150.16,149.56,154.0,148.28,147418.0,
2024-01-25,151.2,148.8,151.2,147.2,77176.0,
2024-01-28,149.6,151.16,152.4,147.2,70666.0,
2024-01-29,152.0,152.8,153.8,150.92,102319.0,
2024-01-30,154.0,155.48,156.8,153.2,159028.0,
2024-01-31,157.36,152.0,157.36,151.6,109879.0,
2024-02-01,150.6,150.32,151.8,149.64,62985.0,
2024-02-04,149.0,151.56,152.2,148.52,62337.0,
2024-02-05,151.96,150.8,153.16,150.0,31110.0,
2024-02-06,151.96,151.6,153.6,150.44,30694.0,
2024-02-07,151.6,152.24,153.0,151.2,36794.0,
2024-02-08,153.2,151.64,153.2,151.0,54208.0,
2024-02-11,152.8,152.8,154.0,152.0,71525.0,
2024-02-12,153.2,154.6,154.8,153.04,75970.0,
2024-02-13,156.48,152.4,156.48,152.12,78328.0,
2024-02-14,152.0,151.6,153.56,151.6,48609.0,
2024-02-15,152.8,153.6,156.8,151.2,128953.0,
2024-02-18,155.44,156.76,160.0,154.0,254376.0,
2024-02-20,156.76,154.24,158.0,154.2,108024.0,
2024-02-21,156.0,152.4,156.0,151.4,53583.0,
2024-02-22,152.8,149.88,154.0,149.2,101468.0,
2024-02-25,151.64,148.04,151.64,148.04,50505.0,
2024-02-26,147.2,149.6,150.52,147.2,50998.0,
2024-02-27,151.2,149.6,151.2,148.2,25565.0,
2024-02-28,149.6,148.04,149.6,148.0,37682.0,
2024-02-29,149.2,145.24,149.6,145.2,63261.0,
2024-03-03,146.92,144.6,146.92,144.0,25791.0,
2024-03-04,146.28,146.8,153.04,146.28,4000.0,
2024-03-05,148.52,148.4,151.8,148.0,100042.0,
2024-03-06,148.0,148.6,150.8,146.8,49423.0,
2024-03-07,150.0,150.4,153.84,150.0,48807.0,
2024-03-10,151.6,150.76,152.2,150.4,36373.0,
2024-03-12,152.56,151.6,154.4,150.8,44254.0,
2024-03-13,151.6,151.48,153.2,150.8,24905.0,
2024-03-14,153.28,151.12,153.28,150.0,25411.0,
2024-03-17,151.2,148.8,151.2,148.64,32056.0,
2024-03-18,150.0,148.8,150.0,148.4,19783.0,
2024-03-19,150.0,148.8,150.0,148.4,34299.0,
2024-03-20,150.56,148.6,150.6,148.0,12212.0,
2024-03-21,147.84,146.8,149.4,146.8,34794.0,
2024-03-25,146.8,146.56,146.8,145.6,16308.0,
2024-03-26,147.2,147.6,148.28,145.76,28210.0,
2024-03-27,146.4,146.0,148.0,146.0,23690.0,
2024-03-28,145.2,146.44,148.0,145.2,22814.0,
2024-03-31,147.2,147.2,148.16,146.8,17311.0,
2024-04-01,146.04,147.24,148.08,146.04,23076.0,
2024-04-02,147.24,146.0,148.28,146.0,14715.0,
2024-04-03,145.6,145.96,146.8,145.6,15610.0,
2024-04-04,146.0,145.56,146.0,144.96,20130.0,
2024-04-07,146.0,146.4,146.76,145.2,14670.0,
2024-04-09,148.12,146.44,148.12,146.08,20485.0,
2024-04-10,147.68,146.0,147.72,145.6,37298.0,
2024-04-14,144.8,145.6,146.76,144.8,13382.0,
2024-04-15,145.6,144.4,146.88,144.4,17823.0,
2024-04-16,146.0,144.0,146.0,143.24,22539.0,
2024-04-18,143.2,142.48,144.4,142.4,13258.0,
2024-04-21,142.0,144.8,146.0,142.0,21880.0,
2024-04-22,145.92,144.6,146.0,143.6,12662.0,
2024-04-24,144.0,144.0,144.8,142.92,10190.0,
2024-04-25,143.04,142.8,144.0,142.4,19442.0,
2024-04-28,142.84,143.2,144.0,141.6,12920.0,
2024-04-29,143.2,143.16,143.6,142.24,14735.0,
2024-04-30,142.0,145.6,147.2,142.0,24984.0,
2024-05-02,146.88,144.76,146.88,143.6,15539.0,
2024-05-05,143.24,143.2,144.0,142.4,8510.0,
2024-05-06,144.4,142.36,144.4,141.88,13491.0,
2024-05-07,142.4,142.0,142.8,141.44,14795.0,
2024-05-08,142.8,141.56,142.8,141.2,11649.0,
2024-05-09,140.4,141.56,142.0,140.4,10906.0,
2024-05-12,140.8,141.76,143.16,140.8,15553.0,
2024-05-13,142.0,140.8,142.0,140.4,25440.0,
2024-05-14,142.0,144.0,144.04,140.6,23018.0,
2024-05-15,145.12,142.8,145.2,142.4,11762.0,
2024-05-16,142.0,141.24,143.56,141.2,16277.0,
2024-05-19,142.4,142.84,142.84,141.24,21394.0,
2024-05-20,143.96,143.2,144.0,142.4,19278.0,
2024-05-21,143.2,143.92,144.0,142.0,24419.0,
2024-05-22,144.16,143.2,144.4,142.88,21502.0,
2024-05-26,143.2,142.4,144.0,142.2,17867.0,
2024-05-27,142.4,142.2,143.56,141.6,10419.0,
2024-05-29,143.4,141.96,143.84,141.72,16491.0,
2024-05-30,140.8,141.2,142.8,140.8,15763.0,
2024-06-02,141.8,141.6,143.2,141.28,13349.0,
2024-06-03,140.8,141.92,141.92,140.8,16323.0,
2024-06-04,140.88,141.52,141.56,140.52,22291.0,
2024-06-05,139.96,140.8,141.96,139.96,25263.0,
2024-06-06,142.4,140.8,142.72,140.0,17457.0,
2024-06-09,141.6,139.32,141.6,139.24,32117.0,
2024-06-10,137.76,140.8,141.96,137.76,21367.0,
2024-06-11,142.0,144.4,147.2,141.2,52785.0,
2024-06-12,145.16,143.6,145.6,143.52,32187.0,
2024-06-13,142.48,144.0,145.2,142.48,32557.0,
2024-06-16,145.2,146.76,150.0,144.8,106780.0,
2024-06-18,146.4,145.44,148.04,145.44,42372.0,
2024-06-19,145.2,146.16,147.12,145.2,19936.0,
2024-06-20,147.88,144.8,147.88,144.16,25168.0,
2024-06-23,146.04,144.0,146.48,143.2,55957.0,
2024-06-24,142.8,144.0,146.36,142.4,46780.0,
2024-06-25,145.68,143.2,145.72,142.8,48011.0,
2024-06-26,142.84,142.8,144.8,142.48,22591.0,
2024-06-27,143.6,142.76,143.6,142.28,20975.0,
2024-06-30,142.44,141.8,142.8,141.2,28990.0,
2024-07-01,141.6,141.76,142.8,140.84,14488.0,
2024-07-02,143.36,144.4,148.4,142.48,56772.0,
2024-07-03,143.0,142.8,143.96,142.4,17290.0,
2024-07-04,143.6,151.08,151.08,143.6,291775.0,
2024-07-07,152.88,153.6,160.0,152.0,352443.0,
2024-07-08,154.0,149.6,154.0,148.4,141032.0,
2024-07-09,148.08,148.4,149.56,147.84,74445.0,
2024-07-10,149.6,147.24,149.6,146.0,164085.0,
2024-07-11,148.0,147.6,148.8,147.2,121555.0,
2024-07-14,149.32,149.48,150.8,147.2,166180.0,
2024-07-15,151.24,148.0,151.24,147.56,392073.0,
2024-07-16,150.9,162.8,162.8,150.9,49035.0,
2024-07-17,166.0,179.0,179.0,166.0,49212.0,
2024-07-18,182.5,196.9,196.9,182.5,507091.0,
2024-07-21,200.8,199.0,212.0,195.5,398086.0,
2024-07-22,202.0,205.0,212.1,193.0,185359.0,
2024-07-23,203.0,207.7,209.1,200.0,198665.0,
2024-07-24,210.0,202.0,213.9,200.0,257270.0,
2024-07-25,205.0,200.0,205.0,199.2,125615.0,
2024-07-28,204.0,202.1,214.2,200.0,151895.0,
2024-07-29,205.0,201.0,205.0,198.6,172151.0,
2024-07-30,200.0,200.0,203.0,197.1,183372.0,
2024-07-31,203.0,208.5,213.0,198.0,390286.0,
2024-08-01,210.0,205.5,212.6,205.0,220330.0,
2024-08-05,206.0,204.5,208.0,202.0,135160.0,
2024-08-06,204.2,195.4,206.0,195.0,185004.0,
